IAH,4,EWR,23
LAX,2,MSP,18
JFK,1,FLL,25
PHL,6,SAN,8
BOS,12,LAX,2
PHX,7,ATL,16
FLL,25,CLT,11
MIA,17,JFK,1
IAD,21,SFO,10
JFK,1,SFO,10
TPA,19,MIA,17
MSP,18,ATL,16
FLL,25,LGA,3
PHL,6,TPA,19
IAH,4,SAN,8
LAX,2,LAS,15
DCA,22,DFW,9
MCO,24,LAS,15
PHX,7,ORD,5
DCA,22,LAX,2
DFW,9,PHX,7
MDW,13,FLL,25
BOS,12,IAD,21
BWI,14,JFK,1
MIA,17,CLT,11
MSP,18,ORD,5
BWI,14,LAS,15
PHX,7,FLL,25
SFO,10,BWI,14
DCA,22,ATL,16
DFW,9,ORD,5
SAN,8,BWI,14
EWR,23,ORD,5
LAX,2,ATL,16
CLT,11,ORD,5
LAS,15,ATL,16
IAH,4,DCA,22
IAD,21,LAS,15
JFK,1,TPA,19
PHX,7,MIA,17
BOS,12,JFK,1
DFW,9,ATL,16
SAN,8,ATL,16
PHL,6,MSP,18
HNL,20,ATL,16
IAD,21,BWI,14
ORD,5,BWI,14
ORD,5,SAN,8
SAN,8,BOS,12
PHX,7,CLT,11
PHX,7,DCA,22
PHX,7,MDW,13
SAN,8,LAX,2
DCA,22,SFO,10
TPA,19,FLL,25
IAD,21,MCO,24
MSP,18,CLT,11
HNL,20,ORD,5
ATL,16,BWI,14
LAS,15,TPA,19
DCA,22,MIA,17
HNL,20,SAN,8
LGA,3,ORD,5
MSP,18,LAS,15
BWI,14,TPA,19
JFK,1,MCO,24
MSP,18,BOS,12
LAX,2,BWI,14
HNL,20,EWR,23
IAD,21,FLL,25
BOS,12,MIA,17
LAX,2,TPA,19
FLL,25,EWR,23
FLL,25,BWI,14
JFK,1,SAN,8
JFK,1,HNL,20
MCO,24,DFW,9
MDW,13,MCO,24
PHL,6,FLL,25
SFO,10,IAH,4
LAS,15,ORD,5
TPA,19,LGA,3
MDW,13,IAD,21
IAD,21,LAX,2
CLT,11,SAN,8
LAS,15,IAH,4
BOS,12,LAS,15
MCO,24,MSP,18
IAD,21,JFK,1
LAS,15,FLL,25
DFW,9,HNL,20
JFK,1,DFW,9
SFO,10,HNL,20
BWI,14,MSP,18
SAN,8,MSP,18
LAX,2,MDW,13
CLT,11,PHL,6
HNL,20,LAS,15
BOS,12,FLL,25
DCA,22,LAS,15
IAH,4,MCO,24
MIA,17,BWI,14
BWI,14,CLT,11
IAH,4,IAD,21
SAN,8,EWR,23
MSP,18,PHX,7
SAN,8,DFW,9
IAD,21,MSP,18
MDW,13,TPA,19
MDW,13,BOS,12
TPA,19,PHX,7
MIA,17,LAS,15
IAH,4,PHL,6
IAH,4,ORD,5
DFW,9,MIA,17
FLL,25,ORD,5
IAD,21,CLT,11
ATL,16,CLT,11
JFK,1,LAX,2
MDW,13,ATL,16
LGA,3,IAH,4
EWR,23,DCA,22
BOS,12,EWR,23
IAD,21,MIA,17
DFW,9,SFO,10
DFW,9,FLL,25
ATL,16,MIA,17
SFO,10,FLL,25
JFK,1,PHX,7
BOS,12,ATL,16
MSP,18,IAH,4
LGA,3,PHL,6
ATL,16,LGA,3
MCO,24,CLT,11
IAD,21,TPA,19
IAD,21,LGA,3
ORD,5,MCO,24
HNL,20,PHX,7
MDW,13,SAN,8
MDW,13,LGA,3
BOS,12,SFO,10
PHL,6,SFO,10
DFW,9,BOS,12
MCO,24,BOS,12
IAH,4,FLL,25
MCO,24,MIA,17
IAD,21,ORD,5
IAD,21,HNL,20
DFW,9,LGA,3
LAX,2,MIA,17
JFK,1,CLT,11
TPA,19,EWR,23
PHL,6,PHX,7
MIA,17,IAH,4
MCO,24,FLL,25
IAD,21,ATL,16
IAH,4,BOS,12
SAN,8,MIA,17
LAS,15,PHL,6
TPA,19,CLT,11
PHL,6,IAD,21
DCA,22,PHL,6
JFK,1,LAS,15
PHX,7,BOS,12
DCA,22,MCO,24
BWI,14,EWR,23
IAH,4,HNL,20
MCO,24,PHL,6
ATL,16,TPA,19
SFO,10,MIA,17
ORD,5,LAX,2
MIA,17,PHL,6
SFO,10,MCO,24
EWR,23,MCO,24
PHL,6,DFW,9
ORD,5,PHL,6
DFW,9,TPA,19
BOS,12,LGA,3
MCO,24,BWI,14
EWR,23,CLT,11
EWR,23,LAS,15
DCA,22,JFK,1
FLL,25,MSP,18
LAS,15,CLT,11
TPA,19,ORD,5
LAS,15,MDW,13
EWR,23,PHL,6
PHX,7,MCO,24
BOS,12,ORD,5
ORD,5,JFK,1
ATL,16,EWR,23
PHX,7,IAD,21
LAX,2,FLL,25
IAD,21,EWR,23
MSP,18,TPA,19
LAX,2,SFO,10
IAD,21,SAN,8
PHL,6,LAX,2
DCA,22,CLT,11
DFW,9,EWR,23
MIA,17,ORD,5
CLT,11,IAH,4
ATL,16,FLL,25
ATL,16,IAH,4
BOS,12,DCA,22
DCA,22,ORD,5
ATL,16,MCO,24
EWR,23,PHX,7
SFO,10,CLT,11
PHX,7,IAH,4
LAX,2,HNL,20
MSP,18,DFW,9
EWR,23,MIA,17
EWR,23,LAX,2
EWR,23,SFO,10
CLT,11,DFW,9
MSP,18,MDW,13
SFO,10,LAS,15
CLT,11,BOS,12
LGA,3,CLT,11
ORD,5,ATL,16
SFO,10,MSP,18
DFW,9,BWI,14
TPA,19,DCA,22
LAX,2,CLT,11
PHL,6,JFK,1
DCA,22,LGA,3
BWI,14,MDW,13
SFO,10,ATL,16
MSP,18,DCA,22
BWI,14,PHL,6
IAH,4,BWI,14
DFW,9,LAX,2
IAH,4,JFK,1
MCO,24,SAN,8
PHL,6,BOS,12
PHX,7,BWI,14
MDW,13,CLT,11
MIA,17,MSP,18
MCO,24,LAX,2
LAS,15,DFW,9
LGA,3,MIA,17
LGA,3,LAX,2
TPA,19,BOS,12
SAN,8,PHX,7
MDW,13,EWR,23
ATL,16,PHL,6
PHX,7,LAX,2
DCA,22,SAN,8
JFK,1,ATL,16
IAH,4,LAX,2
IAH,4,TPA,19
IAH,4,DFW,9
MSP,18,EWR,23
JFK,1,MSP,18
ORD,5,SFO,10
MCO,24,LGA,3
MDW,13,PHL,6
PHX,7,SFO,10
IAD,21,DFW,9
LAS,15,PHX,7
FLL,25,DCA,22
LGA,3,MSP,18
LAS,15,SAN,8
SFO,10,SAN,8
MDW,13,SFO,10
BOS,12,BWI,14
